Lag (seconds)	Frequency (Hz)	Level
0.001995	501.136364	1.707282
0.002018	495.505618	2.743196
0.002041	490.000000	2.964816
0.002063	484.615385	2.984517
0.002086	479.347826	3.192041
0.002109	474.193548	3.278845
0.002132	469.148936	2.888498
0.002154	464.210526	2.425404
0.002177	459.375000	2.273042
0.002200	454.639175	2.301540
0.002222	450.000000	1.893061
0.002245	445.454545	0.842620
0.002268	441.000000	0.000000
0.002290	436.633663	0.000000
0.002313	432.352941	0.000000
0.002336	428.155340	0.000000
0.002358	424.038462	0.000000
0.002381	420.000000	0.000000
0.002404	416.037736	0.000000
0.002426	412.149533	0.000000
0.002449	408.333333	0.000000
0.002472	404.587156	0.000000
0.002494	400.909091	0.000000
0.002517	397.297297	0.000000
0.002540	393.750000	0.449217
0.002562	390.265487	0.766417
0.002585	386.842105	0.554116
0.002608	383.478261	0.492579
0.002630	380.172414	0.893135
0.002653	376.923077	1.465528
0.002676	373.728814	1.646155
0.002698	370.588235	1.569375
0.002721	367.500000	1.765966
0.002744	364.462810	2.596682
0.002766	361.475410	3.618724
0.002789	358.536585	4.313694
0.002812	355.645161	4.648490
0.002834	352.800000	5.131148
0.002857	350.000000	5.865723
0.002880	347.244094	6.357499
0.002902	344.531250	6.033555
0.002925	341.860465	5.085443
0.002948	339.230769	4.272731
0.002971	336.641221	4.034769
0.002993	334.090909	4.054238
0.003016	331.578947	3.797451
0.003039	329.104478	3.435591
0.003061	326.666667	3.473530
0.003084	324.264706	3.845000
0.003107	321.897810	4.177120
0.003129	319.565217	4.121570
0.003152	317.266187	4.160288
0.003175	315.000000	4.761668
0.003197	312.765957	5.427556
0.003220	310.563380	6.054778
0.003243	308.391608	6.146150
0.003265	306.250000	6.214444
0.003288	304.137931	6.930376
0.003311	302.054795	8.118019
0.003333	300.000000	9.757605
0.003356	297.972973	10.931820
0.003379	295.973154	12.293053
0.003401	294.000000	13.354619
0.003424	292.052980	13.889834
0.003447	290.131579	13.344466
0.003469	288.235294	11.890336
0.003492	286.363636	10.426526
0.003515	284.516129	9.495462
0.003537	282.692308	8.962826
0.003560	280.891720	8.622846
0.003583	279.113924	8.090139
0.003605	277.358491	8.141697
0.003628	275.625000	8.795767
0.003651	273.913043	9.487995
0.003673	272.222222	10.026880
0.003696	270.552147	10.143643
0.003719	268.902439	10.404825
0.003741	267.272727	10.997314
0.003764	265.662651	11.562718
0.003787	264.071856	11.797600
0.003810	262.500000	11.764658
0.003832	260.946746	11.924005
0.003855	259.411765	12.312702
0.003878	257.894737	12.585685
0.003900	256.395349	12.311906
0.003923	254.913295	11.628814
0.003946	253.448276	11.073204
0.003968	252.000000	9.992860
0.003991	250.568182	8.985413
0.004014	249.152542	8.005633
0.004036	247.752809	6.724770
0.004059	246.368715	5.666900
0.004082	245.000000	4.277128
0.004104	243.646409	2.560510
0.004127	242.307692	0.542747
0.004150	240.983607	0.000000
0.004172	239.673913	0.000000
0.004195	238.378378	0.000000
0.004218	237.096774	0.000000
0.004240	235.828877	0.000000
0.004263	234.574468	0.000000
0.004286	233.333333	0.000000
0.004308	232.105263	0.000000
0.004331	230.890052	0.000000
0.004354	229.687500	0.000000
0.004376	228.497409	0.000000
0.004399	227.319588	0.000000
0.004422	226.153846	0.000000
0.004444	225.000000	0.000000
0.004467	223.857868	0.000000
0.004490	222.727273	0.000000
0.004512	221.608040	0.000000
0.004535	220.500000	0.000000
0.004558	219.402985	0.000000
0.004580	218.316832	0.000000
0.004603	217.241379	0.000000
0.004626	216.176471	0.000000
0.004649	215.121951	0.000000
0.004671	214.077670	0.000000
0.004694	213.043478	0.000000
0.004717	212.019231	0.000000
0.004739	211.004785	0.000000
0.004762	210.000000	0.000000
0.004785	209.004739	0.000000
0.004807	208.018868	0.000000
0.004830	207.042254	0.000000
0.004853	206.074766	0.000000
0.004875	205.116279	0.000000
0.004898	204.166667	0.000000
0.004921	203.225806	0.000000
0.004943	202.293578	0.566054
0.004966	201.369863	2.217530
0.004989	200.454545	3.932316
0.005011	199.547511	5.300319
0.005034	198.648649	6.489503
0.005057	197.757848	7.477859
0.005079	196.875000	8.309552
0.005102	196.000000	8.655730
0.005125	195.132743	8.235397
0.005147	194.273128	7.602670
0.005170	193.421053	6.862526
0.005193	192.576419	6.123367
0.005215	191.739130	5.264620
0.005238	190.909091	3.947374
0.005261	190.086207	2.570777
0.005283	189.270386	1.260765
0.005306	188.461538	0.186909
0.005329	187.659574	0.000000
0.005351	186.864407	0.000000
0.005374	186.075949	0.000000
0.005397	185.294118	0.000000
0.005420	184.518828	0.000000
0.005442	183.750000	0.000000
0.005465	182.987552	0.000000
0.005488	182.231405	0.000000
0.005510	181.481481	0.000000
0.005533	180.737705	0.000000
0.005556	180.000000	0.000000
0.005578	179.268293	0.000000
0.005601	178.542510	0.000000
0.005624	177.822581	0.000000
0.005646	177.108434	0.000000
0.005669	176.400000	0.000000
0.005692	175.697211	0.000000
0.005714	175.000000	0.000000
0.005737	174.308300	0.000000
0.005760	173.622047	0.000000
0.005782	172.941176	0.000000
0.005805	172.265625	0.000000
0.005828	171.595331	0.000000
0.005850	170.930233	0.000000
0.005873	170.270270	0.000000
0.005896	169.615385	0.000000
0.005918	168.965517	0.000000
0.005941	168.320611	0.000000
0.005964	167.680608	0.000000
0.005986	167.045455	0.000000
0.006009	166.415094	0.000000
0.006032	165.789474	0.000000
0.006054	165.168539	0.000000
0.006077	164.552239	0.000000
0.006100	163.940520	0.000000
0.006122	163.333333	0.000000
0.006145	162.730627	0.000000
0.006168	162.132353	0.000000
0.006190	161.538462	0.000000
0.006213	160.948905	0.000000
0.006236	160.363636	0.000000
0.006259	159.782609	0.000000
0.006281	159.205776	0.000000
0.006304	158.633094	0.000000
0.006327	158.064516	0.000000
0.006349	157.500000	0.000000
0.006372	156.939502	0.000000
0.006395	156.382979	0.000000
0.006417	155.830389	0.000000
0.006440	155.281690	0.000000
0.006463	154.736842	0.000000
0.006485	154.195804	0.000000
0.006508	153.658537	0.000000
0.006531	153.125000	0.000000
0.006553	152.595156	0.000000
0.006576	152.068966	0.000000
0.006599	151.546392	0.000000
0.006621	151.027397	0.000000
0.006644	150.511945	0.000000
0.006667	150.000000	0.000000
0.006689	149.491525	0.000000
0.006712	148.986486	0.000000
0.006735	148.484848	0.000000
0.006757	147.986577	0.000000
0.006780	147.491639	0.000000
0.006803	147.000000	0.000000
0.006825	146.511628	0.000000
0.006848	146.026490	0.000000
0.006871	145.544554	0.000000
0.006893	145.065789	0.000000
0.006916	144.590164	0.000000
0.006939	144.117647	0.000000
0.006961	143.648208	0.000000
0.006984	143.181818	0.000000
0.007007	142.718447	0.000000
0.007029	142.258065	0.000000
0.007052	141.800643	0.000000
0.007075	141.346154	0.000000
0.007098	140.894569	0.000000
0.007120	140.445860	0.000000
0.007143	140.000000	0.000000
0.007166	139.556962	0.000000
0.007188	139.116719	0.000000
0.007211	138.679245	0.000000
0.007234	138.244514	0.000000
0.007256	137.812500	0.000000
0.007279	137.383178	0.000000
0.007302	136.956522	0.000000
0.007324	136.532508	0.000000
0.007347	136.111111	0.000000
0.007370	135.692308	0.000000
0.007392	135.276074	0.000000
0.007415	134.862385	0.000000
0.007438	134.451220	0.000000
0.007460	134.042553	0.000000
0.007483	133.636364	0.000000
0.007506	133.232628	0.000000
0.007528	132.831325	0.000000
0.007551	132.432432	0.000000
0.007574	132.035928	0.000000
0.007596	131.641791	0.000000
0.007619	131.250000	0.000000
0.007642	130.860534	0.000000
0.007664	130.473373	0.000000
0.007687	130.088496	0.000000
0.007710	129.705882	0.000000
0.007732	129.325513	0.000000
0.007755	128.947368	0.000000
0.007778	128.571429	0.000000
0.007800	128.197674	0.000000
0.007823	127.826087	0.000000
0.007846	127.456647	0.000000
0.007868	127.089337	0.000000
0.007891	126.724138	0.000000
0.007914	126.361032	0.000000
0.007937	126.000000	0.000000
0.007959	125.641026	0.000000
0.007982	125.284091	0.000000
0.008005	124.929178	0.000000
0.008027	124.576271	0.000000
0.008050	124.225352	0.000000
0.008073	123.876404	0.000000
0.008095	123.529412	0.000000
0.008118	123.184358	0.000000
0.008141	122.841226	0.000000
0.008163	122.500000	0.000000
0.008186	122.160665	0.000000
0.008209	121.823204	0.000000
0.008231	121.487603	0.000000
0.008254	121.153846	0.000000
0.008277	120.821918	0.000000
0.008299	120.491803	0.000000
0.008322	120.163488	0.000000
0.008345	119.836957	0.000000
0.008367	119.512195	0.000000
0.008390	119.189189	0.000000
0.008413	118.867925	0.081605
0.008435	118.548387	0.219959
0.008458	118.230563	0.318254
0.008481	117.914439	0.392031
0.008503	117.600000	0.482021
0.008526	117.287234	0.508205
0.008549	116.976127	0.506395
0.008571	116.666667	0.416133
0.008594	116.358839	0.311363
0.008617	116.052632	0.160887
0.008639	115.748031	0.000000
0.008662	115.445026	0.000000
0.008685	115.143603	0.000000
0.008707	114.843750	0.000000
0.008730	114.545455	0.000000
0.008753	114.248705	0.000000
0.008776	113.953488	0.000000
0.008798	113.659794	0.000000
0.008821	113.367609	0.000000
0.008844	113.076923	0.000000
0.008866	112.787724	0.000000
0.008889	112.500000	0.000000
0.008912	112.213740	0.000000
0.008934	111.928934	0.000000
0.008957	111.645570	0.000000
0.008980	111.363636	0.000000
0.009002	111.083123	0.000000
0.009025	110.804020	0.000000
0.009048	110.526316	0.000000
0.009070	110.250000	0.000000
0.009093	109.975062	0.000000
0.009116	109.701493	0.000000
0.009138	109.429280	0.000000
0.009161	109.158416	0.000000
0.009184	108.888889	0.000000
0.009206	108.620690	0.000000
0.009229	108.353808	0.000000
0.009252	108.088235	0.000000
0.009274	107.823961	0.000000
0.009297	107.560976	0.000000
0.009320	107.299270	0.000000
0.009342	107.038835	0.000000
0.009365	106.779661	0.000000
0.009388	106.521739	0.000000
0.009410	106.265060	0.000000
0.009433	106.009615	0.000000
0.009456	105.755396	0.000000
0.009478	105.502392	0.000000
0.009501	105.250597	0.000000
0.009524	105.000000	0.000000
0.009546	104.750594	0.000000
0.009569	104.502370	0.000000
0.009592	104.255319	0.000000
0.009615	104.009434	0.000000
0.009637	103.764706	0.000000
0.009660	103.521127	0.000000
0.009683	103.278689	0.000000
0.009705	103.037383	0.000000
0.009728	102.797203	0.000000
0.009751	102.558140	0.000000
0.009773	102.320186	0.000000
0.009796	102.083333	0.000000
0.009819	101.847575	0.000000
0.009841	101.612903	0.000000
0.009864	101.379310	0.000000
0.009887	101.146789	0.000000
0.009909	100.915332	0.000000
0.009932	100.684932	0.000000
0.009955	100.455581	0.000000
0.009977	100.227273	0.000000
0.010000	100.000000	0.000000
0.010023	99.773756	0.000000
0.010045	99.548533	0.000000
0.010068	99.324324	0.000000
0.010091	99.101124	0.000000
0.010113	98.878924	0.000000
0.010136	98.657718	0.000000
0.010159	98.437500	0.000000
0.010181	98.218263	0.000000
0.010204	98.000000	0.000000
0.010227	97.782705	0.000000
0.010249	97.566372	0.000000
0.010272	97.350993	0.000000
0.010295	97.136564	0.000000
0.010317	96.923077	0.000000
0.010340	96.710526	0.000000
0.010363	96.498906	0.000000
0.010385	96.288210	0.000000
0.010408	96.078431	0.000000
0.010431	95.869565	0.000000
0.010454	95.661605	0.000000
0.010476	95.454545	0.000000
0.010499	95.248380	0.000000
0.010522	95.043103	0.000000
0.010544	94.838710	0.000000
0.010567	94.635193	0.000000
0.010590	94.432548	0.000000
0.010612	94.230769	0.000000
0.010635	94.029851	0.000000
0.010658	93.829787	0.000000
0.010680	93.630573	0.000000
0.010703	93.432203	0.000000
0.010726	93.234672	0.000000
0.010748	93.037975	0.000000
0.010771	92.842105	0.000000
0.010794	92.647059	0.000000
0.010816	92.452830	0.000000
0.010839	92.259414	0.000000
0.010862	92.066806	0.000000
0.010884	91.875000	0.000000
0.010907	91.683992	0.000000
0.010930	91.493776	0.000000
0.010952	91.304348	0.000000
0.010975	91.115702	0.000000
0.010998	90.927835	0.000000
0.011020	90.740741	0.000000
0.011043	90.554415	0.000000
0.011066	90.368852	0.000000
0.011088	90.184049	0.000000
0.011111	90.000000	0.000000
0.011134	89.816701	0.000000
0.011156	89.634146	0.000000
0.011179	89.452333	0.000000
0.011202	89.271255	0.000000
0.011224	89.090909	0.000000
0.011247	88.911290	0.000000
0.011270	88.732394	0.000000
0.011293	88.554217	0.000000
0.011315	88.376754	0.000000
0.011338	88.200000	0.000000
0.011361	88.023952	0.000000
0.011383	87.848606	0.000000
0.011406	87.673956	0.000000
0.011429	87.500000	0.000000
0.011451	87.326733	0.000000
0.011474	87.154150	0.000000
0.011497	86.982249	0.000000
0.011519	86.811024	0.000000
0.011542	86.640472	0.000000
0.011565	86.470588	0.000000
0.011587	86.301370	0.000000
